,P_10y,P_10y,P_10y,P_12m,P_12m,P_12m,P_3y,P_3y,P_3y,P_5y,P_5y,P_5y
,Carry,Expectation,HPR,Carry,Expectation,HPR,Carry,Expectation,HPR,Carry,Expectation,HPR
Data,,,,,,,,,,,,
2025-08-07,0.0002941196456401349,0.0,0.0002941196456401349,0.0002928411253435993,3.9684523875592084e-07,0.00029326725615914424,0.00030607101586913087,0.0,0.00030607101586913087,0.00031505652982326515,0.0,0.00031505652982326515
2025-08-06,0.0002941196456401349,1.190654779763157e-06,0.0002953985495502973,0.0002924150371390053,1.587619089951686e-06,0.0002941196456401349,0.00030607101586913087,1.9841765881293288e-07,0.00030628473746133244,0.00031505652982326515,-1.586984169308288e-06,0.00031334354824318923
2025-08-05,0.0002928411253435993,-1.586984169308288e-06,0.00029113702814832093,0.00029071111034492626,0.0,0.00029071111034492626,0.0003058573049627422,5.952827403276831e-07,0.0003064984697398809,0.0003167701967330291,1.3891319728037257e-06,0.0003182702176791275
2025-08-04,0.0002945459043141021,1.587619089951686e-06,0.0002962513653325936,0.00029071111034492626,7.937301640225332e-07,0.00029156298854562723,0.000305216236353107,-3.9680555621692005e-07,0.0003047889106992852,0.0003152707007023962,0.0,0.0003152707007023962
2025-08-01,0.0002928411253435993,3.9684523875680196e-07,0.0002932672561591451,0.00028985940250282816,0.0,0.00028985940250282816,0.00030564360474163164,-5.951934546130588e-07,0.0003050025681846259,0.0003152707007023962,-3.968055562164795e-07,0.0003148423696524105
2025-07-31,0.0002924150371390053,7.93730164021652e-07,0.0002932672561591451,0.00028985940250282816,3.9684523875592084e-07,0.0002902852351311803,0.00030628473746133244,-1.9840773817763198e-07,0.00030607101586913174,0.00031569907458762884,0.0,0.00031569907458762884
2025-07-30,0.00029156298854562636,-7.935714338621244e-07,0.0002907111103449254,0.00028943361245561033,-3.968055562164795e-07,0.00028900786498526845,0.0003064984697398809,1.3891319728037257e-06,0.00030799489495231437,0.00031569907458762884,-1.190297636903779e-06,0.00031441408143338657
2025-07-29,0.0002924150371390053,-7.935714338621244e-07,0.00029156298854562636,0.00028985940250282816,7.937301640207709e-07,0.00029071111034492447,0.0003050025681846259,1.587619089951686e-06,0.0003067122127053101,0.000316984453297648,1.9841765881293288e-07,0.0003171987205753631
2025-07-28,0.0002932672561591451,3.9684523875680196e-07,0.00029369342958990297,0.00028900786498526845,-1.1902976369024574e-06,0.0002877308779929237,0.0003032936073849967,7.93730164021652e-07,0.0003041480023367715,0.0003167701967330291,2.381666809545123e-06,0.00031934198269065493
2025-07-25,0.0002928411253435993,-1.1902976369033386e-06,0.00029156298854562636,0.0002902852351311803,0.0,0.0002902852351311803,0.00030243938329512496,1.190654779763157e-06,0.0003037207835010104,0.0003141999533841485,-1.9840773817807255e-07,0.0003139858360410449
2025-07-24,0.00029411964564013404,7.93730164021652e-07,0.0002949722056160683,0.0002902852351311803,0.0,0.0002902852351311803,0.00030115836745164473,-5.951934546126183e-07,0.00030051800362977644,0.00031441408143338743,-1.3886458616871982e-06,0.0003129154098988142
2025-07-23,0.0002932672561591451,7.93730164021652e-07,0.00029411964564013404,0.0002902852351311803,1.190654779762276e-06,0.00029156298854562463,0.0003017988273352906,-1.3886458616871982e-06,0.0003003045703670577,0.00031591327759480177,1.190654779763157e-06,0.0003171987205753631
2025-07-22,0.0002924150371390053,1.190654779763157e-06,0.00029369342958990297,0.00028900786498526845,0.0,0.00028900786498526845,0.0003032936073849967,5.952827403276831e-07,0.00030393438757865565,0.00031462822018929557,-1.586984169308288e-06,0.00031291540989881333
2025-07-21,0.00029113702814832093,3.9684523875680196e-07,0.00029156298854562636,0.00028900786498526845,-3.968055562160389e-07,0.00028858216008754485,0.000302652923301158,7.93730164021652e-07,0.00030350719010330176,0.00031634171574093694,-1.586984169308288e-06,0.00031462822018929557
2025-07-18,0.0002907111103449254,1.9846230985549643e-06,0.0002928411253435993,0.00028943361245560947,3.9684523875592084e-07,0.00028985940250282724,0.0003017988273352906,-1.9840773817763198e-07,0.00030158533003298786,0.00031805589682789643,2.9773068266894033e-06,0.0003212718350527954
2025-07-17,0.0002885821600875439,1.190654779763157e-06,0.00028985940250282903,0.00028900786498526845,0.0,0.00028900786498526845,0.0003020123353127243,-1.9840773817807255e-07,0.0003017988273352906,0.0003148423696524105,9.921875103347847e-07,0.00031591327759480177
2025-07-16,0.00028730530078751264,0.0,0.00028730530078751264,0.0002890078649852676,-3.9680555621692005e-07,0.00028858216008754306,0.00030222585396582474,-1.190297636903779e-06,0.0003009449021715347,0.00031377172940354084,1.190654779763157e-06,0.00031505652982326515
2025-07-15,0.00028730530078751264,-1.5869841693078476e-06,0.00028560341747924984,0.00028943361245561033,0.0,0.00028943361245561033,0.00030350719010330176,0.0,0.00030350719010330176,0.00031248731436613254,0.0,0.00031248731436613254
2025-07-14,0.00028900786498526845,-3.9680555621692005e-07,0.0002885821600875439,0.00028943361245561033,-3.9680555621692005e-07,0.0002890078649852676,0.00030350719010330176,1.3891319728037257e-06,0.0003050025681846259,0.00031248731436613254,-1.9840773817807255e-07,0.000312273282652839
2025-07-11,0.00028943361245561033,-1.1902976369033386e-06,0.00028815649775818094,0.00028985940250282903,0.0,0.00028985940250282903,0.0003020123353127243,-5.951934546130588e-07,0.0003013718434052839,0.000312701356781279,-3.9680555621692005e-07,0.000312273282652839
2025-07-10,0.0002907111103449254,-3.9680555621692005e-07,0.00029028523513118117,0.00028985940250282903,-4.4056469231157e-19,0.00028985940250282903,0.000302652923301158,-1.9840773817807255e-07,0.00030243938329512496,0.000313129473719273,4.963418950883489e-06,0.00031848454924666915
2025-07-09,0.00029113702814832093,-3.9662705024800716e-06,0.00028687976613769563,0.00028985940250282903,-1.5869841693078476e-06,0.00028815649775818094,0.0003028664739844579,-1.5869841693078476e-06,0.00030115836745164473,0.00030778108785437625,-3.569821910606157e-06,0.0003039343875786548
2025-07-08,0.0002953985495502973,-3.9662705024800716e-06,0.00029113702814832093,0.0002915629885456255,-2.3802382380741286e-06,0.0002890078649852676,0.0003045752638965519,-3.5698219106057164e-06,0.0003007314475644241,0.000311631251718727,1.3891319728037257e-06,0.000313129473719273
2025-07-07,0.00029966433460514713,3.9684523875680196e-07,0.00030009114777573576,0.0002941196456401349,1.1906547797640382e-06,0.0002953985495502982,0.0003084225412205917,-3.9680555621692005e-07,0.00030799489495231437,0.00031013355400412554,-9.919394944601923e-07,0.00030906409081202983
2025-07-04,0.00029923756411374145,-4.362679451477263e-06,0.0002945459043141021,0.0002928411253435993,-7.935714338621244e-07,0.00029198899154110017,0.0003088502302556345,1.9841765881293288e-07,0.00030906409081202983,0.00031120328459544223,-9.91939494460633e-07,0.0003101335540041247
2025-07-03,0.0003039343875786548,-5.947918897972678e-06,0.0002975309088546018,0.00029369342958990297,3.9684523875680196e-07,0.00029411964564013404,0.00030863638039200066,-5.951934546130588e-07,0.00030799489495231437,0.000312273282652839,-4.362679451477263e-06,0.0003075672914465263
2025-07-02,0.0003103474787283119,-3.9680555621692005e-07,0.00030991963997590715,0.0002932672561591451,1.587619089951686e-06,0.0002949722056160692,0.00030927796206171973,1.3891319728037257e-06,0.00031077536026673035,0.000316984453297648,-7.935714338621244e-07,0.00031612749131239314
2025-07-01,0.00031077536026673035,7.93730164021652e-07,0.00031163125171872614,0.0002915629885456255,-1.586984169308288e-06,0.00028985940250282903,0.00030778108785437625,-1.3886458616871982e-06,0.00030628473746133244,0.000317841586692441,1.786116131703113e-06,0.000319770763724444
2025-06-30,0.000309919639975908,7.93730164021652e-07,0.00031077536026673035,0.0002932672561591451,-1.983631035042496e-06,0.00029113702814832093,0.00030927796206171973,2.381666809545123e-06,0.00031184525132967066,0.00031591327759480177,-3.7680511621504674e-06,0.00031184525132967066
2025-06-27,0.00030906409081202983,1.9846230985549643e-06,0.00031120328459544223,0.0002953985495502973,2.381666809545123e-06,0.00029795750867194794,0.0003067122127053101,0.0,0.0003067122127053101,0.0003199851703211634,6.35428842436406e-06,0.0003268518448175899
2025-06-26,0.0003069259663581551,7.93730164021652e-07,0.00030778108785437625,0.00029284112534360015,-1.1902976369024574e-06,0.00029156298854562723,0.0003067122127053101,9.921875103347847e-07,0.00030778108785437625,0.000313129473719273,3.3744498110160273e-06,0.0003167701967330291
2025-06-25,0.00030607101586913087,-7.935714338621244e-07,0.000305216236353107,0.00029411964564013404,-7.935714338625649e-07,0.00029326725615914424,0.00030564360474163164,-1.7853125602609216e-06,0.0003037207835010104,0.0003094918440052391,2.381666809545123e-06,0.00031205926164086273
2025-06-24,0.0003069259663581551,-7.935714338621244e-07,0.00030607101586913087,0.0002949722056160692,0.0,0.0002949722056160692,0.0003075672914465254,5.952827403268019e-07,0.00030820871274087454,0.0003069259663581542,-2.5785269673150163e-06,0.0003041480023367715
2025-06-23,0.00030778108785437625,-1.1902976369033386e-06,0.0003064984697398809,0.0002949722056160692,-2.3802382380736877e-06,0.0002924150371390053,0.0003069259663581551,-2.3802382380736877e-06,0.0003043616277758929,0.0003097057366431235,-9.908244454523473e-06,0.00029902419487139815
2025-06-20,0.00030906409081202983,1.9846230985549643e-06,0.00031120328459544223,0.0002975309088546018,7.937301640207709e-07,0.0002983841511514078,0.00030949184400523995,-1.9840773817763198e-07,0.00030927796206171973,0.00032041401567693055,2.9773068266894033e-06,0.0003236317231543527
2025-06-19,0.0003069259663581542,-3.1733336718899953e-06,0.00030350719010330176,0.00029667783718919017,3.9684523875680196e-07,0.00029710435169510465,0.0003097057366431235,5.952827403276831e-07,0.0003103474787283119,0.0003171987205753631,-5.951934546130588e-07,0.00031655595088097064
2025-06-18,0.0003103474787283119,-4.3626794514777036e-06,0.0003056436047416307,0.0002962513653325936,0.0,0.0002962513653325936,0.00030906409081202983,-1.586984169308288e-06,0.00030735350572822786,0.000317841586692441,-3.1733336718899953e-06,0.00031441408143338743
2025-06-17,0.00031505652982326515,1.587619089951686e-06,0.0003167701967330291,0.0002962513653325936,-3.9680555621692005e-07,0.00029582493612105115,0.00031077536026673035,1.9841765881293288e-07,0.0003109893170820322,0.0003212718350527954,-3.966270502480512e-06,0.000316984453297648
