,P_10y,P_10y,P_10y,P_12m,P_12m,P_12m,P_3y,P_3y,P_3y,P_5y,P_5y,P_5y
,Carry,Expectation,HPR,Carry,Expectation,HPR,Carry,Expectation,HPR,Carry,Expectation,HPR
Data,,,,,,,,,,,,
2025-08-07,0.0014253490519483462,0.0,0.0014253490519483462,0.0014191531458959043,1.923173080124847e-06,0.001421218241386622,0.0014832672307504035,0.0,0.0014832672307504035,0.0015268124137589002,0.0,0.0015268124137589002
2025-08-06,0.0014253490519483462,5.770096240390684e-06,0.0014315468170514407,0.0014170882569044102,7.693846358996632e-06,0.0014253490519483462,0.0014832672307504035,9.615625004011363e-07,0.0014843029584664573,0.0015268124137589002,-7.690769435878628e-06,0.0015185110414862248
2025-08-05,0.0014191531458959043,-7.690769435878628e-06,0.001410894828718786,0.0014088307655177195,0.0,0.0014088307655177195,0.001482231554819443,2.884831741588003e-06,0.001485338737970192,0.0015351171072446794,6.731947252818056e-06,0.0015423864395219256
2025-08-04,0.0014274147670606486,7.693846358996632e-06,0.0014356796935348765,0.0014088307655177195,3.846538487186123e-06,0.0014129590983365014,0.0014791248377112108,-1.922980772435843e-06,0.0014770539518503822,0.0015278503187885356,0.0,0.0015278503187885356
2025-08-01,0.0014191531458959043,1.9231730801291173e-06,0.0014212182413866263,0.0014047032582829365,0.0,0.0014047032582829365,0.001481195930670984,-2.8843990492786697e-06,0.0014780893688947255,0.0015278503187885356,-1.922980772433708e-06,0.0015257745606232199
2025-07-31,0.0014170882569044102,3.846538487181852e-06,0.0014212182413866263,0.0014047032582829365,1.923173080124847e-06,0.0014067669087126432,0.0014843029584664573,-9.615144234762165e-07,0.0014832672307504078,0.0015299262845400474,0.0,0.0015299262845400474
2025-07-30,0.001412959098336497,-3.845769256408756e-06,0.0014088307655177152,0.0014026398142079578,-1.922980772433708e-06,0.0014005765764670702,0.001485338737970192,6.731947252818056e-06,0.001492590644768908,0.0015299262845400474,-5.768365471149083e-06,0.001523699010023335
2025-07-29,0.0014170882569044102,-3.845769256408756e-06,0.001412959098336497,0.0014047032582829365,3.846538487177582e-06,0.001408830765517711,0.0014780893688947255,7.693846358996632e-06,0.0014863745692641954,0.001536155427519371,9.615625004011363e-07,0.0015371937997113749
2025-07-28,0.0014212182413866263,1.9231730801291173e-06,0.001423283543397222,0.0014005765764670702,-5.768365471142678e-06,0.00139438810104263,0.0014698074819426764,3.846538487181852e-06,0.0014739480113243543,0.0015351171072446794,1.154192376933406e-05,0.0015475803776547124
2025-07-25,0.0014191531458959043,-5.768365471146948e-06,0.001412959098336497,0.0014067669087126432,0.0,0.0014067669087126432,0.001465667780584067,5.770096240390684e-06,0.0014718776431202811,0.0015226613125539506,-9.615144234783516e-07,0.0015216236669681406
2025-07-24,0.001425349051948342,3.846538487181852e-06,0.0014294806887547927,0.0014067669087126432,0.0,0.0014067669087126432,0.0014594597807272014,-2.8843990492765348e-06,0.0014563564791289165,0.0015236990100233393,-6.729591483561038e-06,0.0015164362172019458
2025-07-23,0.0014212182413866263,3.846538487181852e-06,0.001425349051948342,0.0014067669087126432,5.770096240386414e-06,0.0014129590983364886,0.0014625635478556392,-6.729591483561038e-06,0.0014553221487018952,0.0015309643452671162,5.770096240390684e-06,0.0015371937997113749
2025-07-22,0.0014170882569044102,5.770096240390684e-06,0.001423283543397222,0.0014005765764670702,0.0,0.0014005765764670702,0.0014698074819426764,2.884831741588003e-06,0.0014729128013427158,0.001524736759378894,-7.690769435878628e-06,0.0015164362172019415
2025-07-21,0.001410894828718786,1.9231730801291173e-06,0.001412959098336497,0.0014005765764670702,-1.9229807724315732e-06,0.0013985135450396403,0.0014667026283056118,3.846538487181852e-06,0.0014708425366544624,0.0015330406224368482,-7.690769435878628e-06,0.001524736759378894
2025-07-18,0.0014088307655177152,9.617788862227904e-06,0.0014191531458959043,0.0014026398142079537,1.923173080124847e-06,0.0014047032582829321,0.0014625635478556392,-9.615144234762165e-07,0.0014615289070829412,0.0015413478077044211,1.4428486929340956e-05,0.0015569327391020083
2025-07-17,0.001398513545039636,5.770096240390684e-06,0.0014047032582829406,0.0014005765764670702,0.0,0.0014005765764670702,0.0014635982403616641,-9.615144234783516e-07,0.0014625635478556392,0.0015257745606232199,4.808293319314726e-06,0.0015309643452671162
2025-07-16,0.001392325688431792,0.0,0.001392325688431792,0.0014005765764670659,-1.922980772435843e-06,0.0013985135450396318,0.0014646329846036122,-5.768365471149083e-06,0.0014584252951389755,0.0015205860732633132,5.770096240390684e-06,0.0015268124137589002
2025-07-15,0.001392325688431792,-7.690769435876491e-06,0.001384078100091749,0.0014026398142079578,0.0,0.0014026398142079578,0.0014708425366544624,0.0,0.0014708425366544624,0.0015143616003897192,0.0,0.0015143616003897192
2025-07-14,0.0014005765764670702,-1.922980772435843e-06,0.001398513545039636,0.0014026398142079578,-1.922980772435843e-06,0.0014005765764670659,0.0014708425366544624,6.731947252818056e-06,0.0014780893688947255,0.0015143616003897192,-9.615144234783516e-07,0.0015133243697791428
2025-07-11,0.0014026398142079578,-5.768365471146948e-06,0.0013964507199050308,0.0014047032582829406,0.0,0.0014047032582829406,0.0014635982403616641,-2.8843990492786697e-06,0.0014604943180409912,0.0015153988828631214,-1.922980772435843e-06,0.0015133243697791428
2025-07-10,0.0014088307655177152,-1.922980772435843e-06,0.0014067669087126473,0.0014047032582829406,-2.135044278125301e-18,0.0014047032582829406,0.0014667026283056118,-9.615144234783516e-07,0.001465667780584067,0.0015174736034087844,2.405349183889691e-05,0.0015434251232723196
